,date,isLianban,isLianbanST,isZTShiti,isZhangting,isZTT,isZhangtingOne,isEatDTBan,preZTcurDT,isEatZTBread,isLianbanBZ,isDTT,isDietingOne,isDieting,isZhaban,isEatTDBan,isFitBaopo,SysChooseNo1,ZJNo1,ZJlt30No1,ALLHSNo1,index_num_ten,TBang
0,20191009,8,7,31,35,3,4,0,2,0,8,0,0,8,15,0,0,3-宝鼎科技-002552.SZ-实体-浙江-27.0,2-金力永磁-300748.SZ-实体-江西-21.0,1-亿纬锂能-300014.SZ-实体-广东-4.0,2-天顺股份-002800.SZ-实体-新疆-13.0,3,0
0,20191010,10,8,52,56,2,4,0,0,1,8,0,1,2,14,0,1,4-宝鼎科技-002552.SZ-实体-浙江-29.0,1-信维通信-300136.SZ-实体-深圳-7.0,1-领益智造-002600.SZ-实体-广东-9.0,3-天顺股份-002800.SZ-实体-新疆-16.0,4,0
0,20191011,10,8,42,48,2,6,0,0,0,10,0,1,3,27,0,1,4-天顺股份-002800.SZ-实体-新疆-19.0,0,2-招商轮船-601872.SH-实体-上海-5.0,2-聚龙股份-300202.SZ-实体-辽宁-15.0,0,0
0,20191014,19,16,63,72,8,9,0,0,1,10,0,0,1,26,0,0,5-天顺股份-002800.SZ-实体-新疆-19.0,1-中国长城-000066.SZ-实体-深圳-9.0,1-中国长城-000066.SZ-实体-深圳-9.0,3-顺钠股份-000533.SZ-实体-广东-14.0,3,0
0,20191015,14,11,37,40,6,3,0,3,5,19,0,3,37,17,0,4,6-诚迈科技-300598.SZ-实体-江苏-0.0,0,0,4-顺钠股份-000533.SZ-实体-广东-14.0,1,诚迈科技&300598.SZ&0.1***
0,20191016,7,6,26,30,1,4,0,4,1,14,0,1,10,13,1,0,7-诚迈科技-300598.SZ-非实体-江苏-0.0,3-粤泰股份-600393.SH-实体-广东-20.0,1-瑞达期货-002961.SZ-实体-福建-9.0,3-粤泰股份-600393.SH-实体-广东-20.0,2,恒基达鑫&002492.SZ&-0.04***
0,20191017,5,3,22,26,1,4,0,3,0,7,0,1,4,16,0,1,4-华金资本-000532.SZ-实体-广东-0.0,0,0,2-中电兴发-002298.SZ-实体-安徽-16.0,0,华金资本&000532.SZ&-0.0***
0,20191018,9,8,30,31,1,1,0,0,1,5,0,0,5,12,0,0,3-博天环境-603603.SH-实体-北京-27.0,0,0,2-金字火腿-002515.SZ-实体-浙江-2.0,0,0
0,20191021,6,6,25,34,3,9,1,6,1,9,0,2,25,20,0,2,3-天夏智慧-000662.SZ-实体-广西-33.0,1-正邦科技-002157.SZ-实体-江西-8.0,1-正邦科技-002157.SZ-实体-江西-8.0,2-振静股份-603477.SH-实体-四川-21.0,2,0
0,20191022,7,5,39,43,1,4,0,0,1,6,0,1,3,13,0,0,3-鲁商发展-600223.SH-非实体-山东-5.0,1-壹网壹创-300792.SZ-实体-浙江-4.0,1-壹网壹创-300792.SZ-实体-浙江-4.0,3-洛阳玻璃-600876.SH-实体-河南-11.0,2,0
0,20191023,8,5,27,34,2,7,0,0,1,7,0,1,2,21,0,2,4-鲁商发展-600223.SH-非实体-山东-5.0,0,0,4-振静股份-603477.SH-实体-四川-32.0,0,0
0,20191024,11,6,22,29,0,7,0,2,0,8,0,1,11,10,0,1,5-鲁商发展-600223.SH-非实体-山东-5.0,1-益生股份-002458.SZ-实体-山东-9.0,1-益生股份-002458.SZ-实体-山东-9.0,2-景峰医药-000908.SZ-实体-湖南-5.0,2,0
0,20191025,10,4,26,34,0,8,0,0,0,11,0,1,4,9,0,0,6-鲁商发展-600223.SH-非实体-山东-5.0,2-益生股份-002458.SZ-实体-山东-16.0,1-牧原股份-002714.SZ-实体-河南-8.0,2-蓝丰生化-002513.SZ-实体-江苏-18.0,3,0
0,20191028,13,9,88,150,38,62,0,0,0,10,0,2,9,31,0,7,5-古鳌科技-300551.SZ-实体-上海-9.0,1-新大陆-000997.SZ-实体-福建-0.0,1-新大陆-000997.SZ-实体-福建-0.0,2-漫步者-002351.SZ-实体-深圳-15.0,5,古鳌科技&300551.SZ&0.1***
0,20191029,33,16,26,44,7,18,0,1,9,13,0,4,14,45,0,10,4-文化长城-300089.SZ-非实体-广东-16.0,2-智度股份-000676.SZ-实体-河南-7.0,1-益生股份-002458.SZ-实体-山东-11.0,2-万方发展-000638.SZ-实体-吉林-13.0,2,先进数通&300541.SZ&-0.03***
0,20191030,14,8,22,29,2,7,1,10,0,33,0,1,33,17,0,1,5-文化长城-300089.SZ-实体-广东-29.0,1-天康生物-002100.SZ-实体-新疆-9.0,3-易见股份-600093.SH-实体-四川-0.0,3-乐心医疗-300562.SZ-实体-广东-5.0,2,易见股份&600093.SH&-0.03***浙大网新&600797.SH&-0.03***
0,20191031,7,3,15,19,0,4,0,2,4,14,0,5,37,16,0,1,6-文化长城-300089.SZ-实体-广东-40.0,1-药明康德-603259.SH-实体-江苏-5.0,1-药明康德-603259.SH-实体-江苏-5.0,2-丰华股份-600615.SH-实体-上海-16.0,1,0
0,20191101,8,7,32,33,1,1,0,0,0,7,0,2,7,15,0,1,5-新湖中宝-600208.SH-实体-浙江-8.0,2-联络互动-002280.SZ-实体-浙江-16.0,0,3-丰华股份-600615.SH-实体-上海-21.0,3,0
0,20191104,7,6,25,28,3,3,0,1,4,8,0,0,3,28,0,0,3-环球印务-002799.SZ-实体-陕西-12.0,1-天康生物-002100.SZ-实体-新疆-10.0,1-天康生物-002100.SZ-实体-新疆-10.0,2-诚迈科技-300598.SZ-实体-江苏-15.0,1,0
0,20191105,8,6,20,23,0,3,0,0,1,7,0,1,7,6,0,0,3-当代东方-000673.SZ-实体-山西-27.0,1-亿纬锂能-300014.SZ-实体-广东-9.0,1-亿纬锂能-300014.SZ-实体-广东-9.0,2-鹏辉能源-300438.SZ-实体-广东-12.0,3,0
